scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,819.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,820.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,821.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,822.0,0.85,0.81,0.8,0.6,0.4666765292544496,0.9,0.13880453344920948
3-port,3,823.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,824.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,825.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,826.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,827.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,828.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,829.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,830.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,831.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,832.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,833.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,834.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,835.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,836.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,837.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,838.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,839.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,840.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,841.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,842.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,843.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,844.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,845.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,846.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,847.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,848.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,849.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,850.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,851.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,852.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,853.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,854.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,855.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,856.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,857.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,858.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,859.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,860.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,861.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,862.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,863.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,864.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,865.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,866.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,867.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,868.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,869.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,870.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,871.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
